MN-HN-181
Minneapolis 0.4 NE
observation date, observation time, liquid, snowfall, snow depth
2017-04-01, 07:00:00 , 0, 0, 0
2017-04-02, 07:00:00, 0, 0, 0
2017-04-03, 07:00:00, T, 0, 0
2017-04-04, 07:00:00, 0.05, 0, 0
2017-04-05, 07:00:00, 0, 0, 0
2017-04-06, 07:00:00, 0, 0, 0
2017-04-07, 07:00:00, 0, 0, 0
2017-04-08, 07:00:00, 0, 0, 0
2017-04-09, 07:00:00, 0, 0, 0
2017-04-10, 07:00:00, 0.04, 0, 0
2017-04-11, 07:00:00, 0.21, 0, 0
2017-04-12, 07:00:00, T, 0, 0
2017-04-13, 07:00:00, 0.21, 0, 0
2017-04-14, 07:00:00, 0, 0, 0
2017-04-15, 07:00:00, 0.61, 0, 0
2017-04-16, 07:00:00, 0.43, 0, 0
2017-04-17, 07:00:00, 0, 0, 0
2017-04-18, 07:00:00, 0, 0, 0
2017-04-19, 07:00:00, 0.24, 0, 0
2017-04-20, 07:00:00, 0.89, 0, 0
2017-04-21, 07:00:00, 0.02, 0, 0
2017-04-22, 07:00:00, 0, 0, 0
2017-04-23, 07:00:00, 0, 0, 0
2017-04-24, 07:00:00, 0, 0, 0
2017-04-25, 07:00:00, 0, 0, 0
2017-04-26, 07:00:00, 0.92, 0, 0
2017-04-27, 07:00:00, 0.04, 0, 0
2017-04-28, 07:00:00, T, 0, 0
2017-04-29, 07:00:00, 0, 0, 0
2017-04-30, 07:00:00, 0, 0, 0
2017-05-01, 07:00:00, 0.94, 0, 0
2017-05-02, 07:00:00, 0.23, 0, 0
2017-05-03, 07:00:00, 0, 0, 0
2017-05-04, 07:00:00, 0, 0, 0
2017-05-05, 07:00:00, 0, 0, 0
2017-05-06, 07:00:00, 0, 0, 0
2017-05-07, 07:00:00, 0, 0, 0
2017-05-08, 07:00:00, 0, 0, 0
2017-05-09, 07:00:00, 0.25, 0, 0
2017-05-10, 07:00:00, 0.01, 0, 0
2017-05-11, 07:00:00, 0.01, 0, 0
2017-05-12, 07:00:00, 0, 0, 0
2017-05-13, 07:00:00, 0, 0, 0
2017-05-14, 07:00:00, 0, 0, 0
2017-05-15, 07:00:00, 0, 0, 0
2017-05-16, 07:00:00, 0.64, 0, 0
2017-05-17, 07:00:00, 1.01, 0, 0
2017-05-18, 07:00:00, 1.62, 0, 0
2017-05-19, 07:00:00, 0.01, 0, 0
2017-05-20, 07:00:00, T, 0, 0
2017-05-21, 07:00:00, 1.46, 0, 0
2017-05-22, 07:00:00, 0.04, 0, 0
2017-05-23, 07:00:00, 0, 0, 0
2017-05-24, 07:00:00, 0.01, 0, 0
2017-05-25, 07:00:00, 0, 0, 0
2017-05-26, 07:00:00, 0.03, 0, 0
2017-05-27, 07:00:00, 0, 0, 0
2017-05-28, 07:00:00, 0.03, 0, 0
2017-05-29, 07:00:00, 0.04, 0, 0
2017-05-30, 07:00:00, 0.04, 0, 0
2017-05-31, 07:00:00, 0.02, 0, 0
2017-06-01, 07:00:00, 0, 0, 0
2017-06-02, 07:00:00, 0, 0, 0
2017-06-03, 07:00:00, 0, 0, 0
2017-06-04, 07:00:00, 0, 0, 0
2017-06-05, 07:00:00, 0, 0, 0
2017-06-06, 07:00:00, 0, 0, 0
2017-06-07, 07:00:00, 0, 0, 0
2017-06-08, 07:00:00, 0.11, 0, 0
2017-06-09, 07:00:00, 0, 0, 0
2017-06-10, 07:00:00, 0, 0, 0
2017-06-11, 07:00:00, 0, 0, 0
2017-06-12, 07:00:00, 0.83, 0, 0
2017-06-13, 07:00:00, 0.26, 0, 0
2017-06-14, 07:00:00, 0, 0, 0
2017-06-15, 07:00:00, 0, 0, 0
2017-06-16, 07:00:00, 0, 0, 0
2017-06-17, 07:00:00, 0, 0, 0
2017-06-18, 07:00:00, 0.33, 0, 0
2017-06-19, 07:00:00, 0, 0, 0
2017-06-20, 07:00:00, 0.20, 0, 0
2017-06-21, 07:00:00, 0, 0, 0
2017-06-22, 07:00:00, 0.04, 0, 0
2017-06-23, 07:00:00, 0.65, 0, 0
2017-06-24, 07:00:00, T, 0, 0
2017-06-25, 07:00:00, 0.04, 0, 0
2017-06-26, 07:00:00, T, 0, 0
2017-06-27, 07:00:00, 0, 0, 0
2017-06-28, 07:00:00, 0.54, 0, 0
2017-06-29, 07:00:00, 0.09, 0, 0
2017-06-30, 07:00:00, 0, 0, 0
2017-07-01, 07:00:00, 0.04, 0, 0
2017-07-02, 07:00:00, 0, 0, 0
2017-07-03, 07:00:00, 0, 0, 0
2017-07-04, 07:00:00, 0, 0, 0
2017-07-05, 07:00:00, 0.10, 0, 0
2017-07-06, 07:00:00, T, 0, 0
2017-07-07, 07:00:00, 0, 0, 0
2017-07-08, 07:00:00, 0, 0, 0
2017-07-09, 07:00:00, 0, 0, 0
2017-07-10, 07:00:00, 0.02, 0, 0
2017-07-11, 07:00:00, 0, 0, 0
2017-07-12, 07:00:00, 0.04, 0, 0
2017-07-13, 07:00:00, 0, 0, 0
2017-07-14, 07:00:00, T, 0, 0
2017-07-15, 07:00:00, 0, 0, 0
2017-07-16, 07:00:00, 0, 0, 0
2017-07-17, 07:00:00, 0, 0, 0
2017-07-18, 07:00:00, 1.05, 0, 0
2017-07-19, 07:00:00, 0.14, 0, 0
2017-07-20, 07:00:00, 0.12, 0, 0
2017-07-21, 07:00:00, 0, 0, 0
2017-07-22, 07:00:00, T, 0, 0
2017-07-23, 07:00:00, 0, 0, 0
2017-07-24, 07:00:00, 0, 0, 0
2017-07-25, 07:00:00, T, 0, 0
2017-07-26, 07:00:00, 1.15, 0, 0
2017-07-27, 07:00:00, 0.03, 0, 0
2017-07-28, 07:00:00, 0, 0, 0
2017-07-29, 07:00:00, 0, 0, 0
2017-07-30, 07:00:00, 0, 0, 0
2017-07-31, 07:00:00, 0, 0, 0
2017-08-01, 07:00:00, 0, 0, 0
2017-08-02, 07:00:00, 0, 0, 0
2017-08-03, 07:00:00, 0.05, 0, 0
2017-08-04, 07:00:00, 0.26, 0, 0
2017-08-05, 07:00:00, 0.02, 0, 0
2017-08-06, 07:00:00, 0.05, 0, 0
2017-08-07, 07:00:00, 0.06, 0, 0
2017-08-08, 07:00:00, 0, 0, 0
2017-08-09, 07:00:00, 0, 0, 0
2017-08-10, 07:00:00, 0.96, 0, 0
2017-08-11, 07:00:00, 0.06, 0, 0
2017-08-12, 07:00:00, 0, 0, 0
2017-08-13, 07:00:00, 0, 0, 0
2017-08-14, 07:00:00, 1.39, 0, 0
2017-08-15, 07:00:00, 0, 0, 0
2017-08-16, 07:00:00, 0.53, 0, 0
2017-08-17, 07:00:00, 0.95, 0, 0
2017-08-18, 07:00:00, 0.01, 0, 0
2017-08-19, 07:00:00, 0.02, 0, 0
2017-08-20, 07:00:00, 0, 0, 0
2017-08-21, 07:00:00, 0, 0, 0
2017-08-22, 07:00:00, 0.07, 0, 0
2017-08-23, 07:00:00, 0, 0, 0
2017-08-24, 07:00:00, 0, 0, 0
2017-08-25, 07:00:00, 0.13, 0, 0
2017-08-26, 07:00:00, 1.49, 0, 0
2017-08-27, 07:00:00, 0.13, 0, 0
2017-08-28, 07:00:00, 0.01, 0, 0
2017-08-29, 07:00:00, 0, 0, 0
2017-08-30, 07:00:00, 0.03, 0, 0
2017-08-31, 07:00:00, T, 0, 0
2017-09-01, 07:00:00, 0, 0, 0
2017-09-02, 07:00:00, 0, 0, 0
2017-09-03, 07:00:00, 0, 0, 0
2017-09-04, 07:00:00, 0.21, 0, 0
2017-09-05, 07:00:00, T, 0, 0
2017-09-06, 07:00:00, 0, 0, 0
2017-09-07, 07:00:00, 0, 0, 0
2017-09-08, 07:00:00, 0, 0, 0
2017-09-09, 07:00:00, 0, 0, 0
2017-09-10, 07:00:00, T, 0, 0
2017-09-11, 07:00:00, 0, 0, 0
2017-09-12, 07:00:00, 0, 0, 0
2017-09-13, 07:00:00, 0, 0, 0
2017-09-14, 07:00:00, 0, 0, 0
2017-09-15, 07:00:00, 0.1, 0, 0
2017-09-16, 07:00:00, T, 0, 0
2017-09-17, 07:00:00, 0, 0, 0
2017-09-18, 07:00:00, 0.36, 0, 0
2017-09-19, 07:00:00, 0.32, 0, 0
2017-09-20, 07:00:00, 0, 0, 0
2017-09-21, 07:00:00, 0, 0, 0
2017-09-22, 07:00:00, 0, 0, 0
2017-09-23, 07:00:00, 0, 0, 0
2017-09-24, 07:00:00, 0.27, 0, 0
2017-09-25, 07:00:00, 0.22, 0, 0
2017-09-26, 07:00:00, 0.02, 0, 0
2017-09-27, 07:00:00, 0, 0, 0
2017-09-28, 07:00:00, 0, 0, 0
2017-09-29, 07:00:00, 0, 0, 0
2017-09-30, 07:00:00, 0.22, 0, 0
2017-10-01, 07:00:00, 0.73, 0, 0
2017-10-02, 07:00:00, 2.89, 0, 0
2017-10-03, 07:00:00, 0.08, 0, 0
2017-10-04, 07:00:00, 0, 0, 0
2017-10-05, 07:00:00, 0.02, 0, 0
2017-10-06, 07:00:00, 0.58, 0, 0
2017-10-07, 07:00:00, 0.05, 0, 0
2017-10-08, 07:00:00, 0, 0, 0
2017-10-09, 07:00:00, 0, 0, 0
2017-10-10, 07:00:00, 0, 0, 0
2017-10-11, 07:00:00, 0, 0, 0
2017-10-12, 07:00:00, 0, 0, 0
2017-10-13, 07:00:00, 0, 0, 0
2017-10-14, 07:00:00, 0.64, 0, 0
2017-10-15, 07:00:00, 0, 0, 0
2017-10-16, 07:00:00, 0, 0, 0
2017-10-17, 07:00:00, 0, 0, 0
2017-10-18, 07:00:00, 0, 0, 0
2017-10-19, 07:00:00, 0, 0, 0
2017-10-20, 07:00:00, 0, 0, 0
2017-10-21, 07:00:00, 0, 0, 0
2017-10-22, 07:00:00, 0.28, 0, 0
2017-10-23, 07:00:00, 0.35, 0, 0
2017-10-24, 07:00:00, 0, 0, 0
2017-10-25, 07:00:00, 0, 0, 0
2017-10-26, 07:00:00, 0, 0, 0
2017-10-27, 07:00:00, 0, 0, 0
2017-10-28, 07:00:00, 0.10, 0, 0
2017-10-29, 07:00:00, 0.19, 0, 0
2017-10-30, 07:00:00, 0, 0, 0
2017-10-31, 07:00:00, 0.02, 0, 0
